Company,Type,City,State / Province,Country
Angry Skull Studios, Developer,Tucson,Arizona,United States
Desert Owl Games, Online,Tucson,Arizona,United States
Riverman Media, Developer,Tucson,Arizona,United States
Running With Scissors, Developer,Tucson,Arizona,United States
Wisdom Tree Games, Developer and Publisher,Tucson,Arizona,United States
Basilisk Games, Developer,Indianapolis,Indiana,United States
Crosscut Games, Developer,Indianapolis,Indiana,United States
Dreamspike Studios, Developer,Fort Wayne,Indiana,United States
Freehold Games, Developer,North Liberty,Indiana,United States
igda Indianapolis Charter, Organization,Indiapolis,Indiana,United States
Mommy's Best Games, Developer,Charlestown,Indiana,United States
Plow Games, Developer,Indianapolis,Indiana,United States
Plow Games, Mobile,Indiapolis,Indiana,United States
Re-Logic, Developer,Sellersburg,Indiana,United States
Studio Cypher, Mobile,Bloomington,Indiana,United States
Tethys Interactive, Mobile,Fishers,Indiana,United States
Geeta Games, Developer,Portage,Michigan,United States
Plarium, Developer,Kalamazoo,Michigan,United States
RespondWell, Developer,Grand Rapids,Michigan,United States
Rightstick Studios, Developer,Grand Rapids,Michigan,United States
S2 Games, Developer,Kalamazoo,Michigan,United States
Underbite Games, Developer,Grand Rapids,Michigan,United States
Bawden Studio, Mobile,Columbus,Ohio,United States
Flipline Studios, Mobile,Cleveland,Ohio,United States
Fresh Games, Developer,Columbus,Ohio,United States
Handelabra Games, Developer,Cleveland,Ohio,United States
Lantern Light Studios, Mobile,Athens,Ohio,United States
Lasso Games, Developer,Huntington,West Virginia,United States
Max Gaming Studios, Developer,Columbus,Ohio,United States
Multivarious Games, Mobile,Columbus,Ohio,United States
Nectar Game Studios, Developer,Cincinnati,Ohio,United States
Polytundra, Mobile,Cleveland,Ohio,United States
Socent Studios, Developer,Cleveland,Ohio,United States
Studio Zevere, Developer,Cleveland,Ohio,United States
Super Lame Games, Mobile,Columbus,Ohio,United States
Super77, Developer,Columbus,Ohio,United States
Surgical Theater, Virtual Reality,Mayfield Village,Ohio,United States
Truant Pixel, Developer,Dayton,Ohio,United States
WhatIf Sports, Online,Cincinnati,Ohio,United States
Wraith Games, Developer,Hamilton,Ohio,United States
Youngstown Game Developers, Organization,Youngstown,Ohio,United States
Altfuture, Virtual Reality,Belgrade,Belgrade,Serbia
DEVANA Technologies, Developer,Belgrade,Belgrade,Serbia
Digital Arrow, Developer,Temerin,Vojvodina,Serbia
Ebb Software, Developer,Belgrade,Belgrade,Serbia
Eipix, Developer,Novi Sad,Vojvodina,Serbia
Eipix Entertainment, Developer,Novi Sad,Vojvodina,Serbia
Flat Hill Games, Virtual Reality,Vrsac,Vojvodina,Serbia
LevelBit, Developer,Belgrade,Belgrade,Serbia
Mad Head Games, Developer,Novi Sad,Vojvodina,Serbia
Moonburnt Studio, Developer,Belgrade,Belgrade,Serbia
Nordeus, Online,Belgrade,Belgrade,Serbia
Peaksel, Mobile,Nis,Nisava,Serbia
Sozap, Mobile,Nis,Nisava,Serbia
Superverse Industries, Developer,Belgrade,Belgrade,Serbia
TabTale, Mobile,Belgrade,Belgrade,Serbia
Triton Studios (Big Fish Games), Mobile,Belgrade,Belgrade,Serbia
Ubisoft Belgrade, Developer and Publisher,Belgrade,Belgrade,Serbia
Abyss Gameworks, Developer,Istanbul,Istanbul,Turkey
Aral Ithalat, Publisher,Istanbul,Istanbul,Turkey
ArcadeMonk, Developer,Istanbul,Istanbul,Turkey
Consala Games, Online,Kadikoy,Istanbul,Turkey
Crytek, Developer,Istanbul,Istanbul,Turkey
Cultic Games, Developer,Istanbul,Istanbul,Turkey
Digitoy Games, Online,Izmir,Izmir,Turkey
Dream Games, Mobile,Istanbul,Istanbul,Turkey
Dream Harvesters, Developer,Antalya,Antalya,Turkey
Elite Game Studio, Mobile,Istanbul,Istanbul,Turkey
Gamegos, Developer,Istanbul,Istanbul,Turkey
Gamester, Online,Istanbul,Istanbul,Turkey
Global Game Center, Publisher,Istanbul,Istanbul,Turkey
Gram Games, Mobile,Istanbul,Istanbul,Turkey
Happy Game Company, Mobile,Izmir,Izmir,Turkey
Infosfer, Developer,Istanbul,Istanbul,Turkey
Lokum Games, Publisher,Istanbul,Istanbul,Turkey
Madbyte, Developer,Istanbul,Istanbul,Turkey
MagiClick Games, Online,Istanbul,Istanbul,Turkey
Momentum Digital Media Technologies, Developer,Kocaeli,Gebze,Turkey
Oldmoustache Gameworks, Developer,Istanbul,Istanbul,Turkey
OyunStüdyosu, Online,Istanbul,Istanbul,Turkey
Peak Games, Online,Istanbul,Istanbul,Turkey
Pera Games, Developer,Istanbul,Istanbul,Turkey
Riot Games, Online,Istanbul,Istanbul,Turkey
Rocwise Entertainment, Developer and Publisher,Istanbul,Istanbul,Turkey
Sobee, Developer,Istanbul,Istanbul,Turkey
tikle, Mobile,Istanbul,Istanbul,Turkey
Tricksy Games, Mobile,Istanbul,Istanbul,Turkey
Vertigo Games, Mobile,Istanbul,Istanbul,Turkey
Zoetrope Interactive, Developer,Istanbul,Istanbul,Turkey
Aesir Interactive, Developer,Munich,Bayern,Germany
Bit Barons, Developer,Munich,Bayern,Germany
Bonus Level Entertainment, Publisher,Munich,Bayern,Germany
Bulkhead Darkhorse, Developer,Munich,Bayern,Germany
Bulkhead Interactive, Developer,Munich,Bayern,Germany
Chimera Entertainment, Developer,Munich,Bayern,Germany
Connect2Media, Mobile,Munich,Bayern,Germany
Deep Silver Germany (Koch Media), Publisher,Planegg,Bayern,Germany
Delightex, Virtual Reality,Munich,Bayern,Germany
Digitalmindsoft, Developer,Ulm,Baden Wurttemberg,Germany
FDG Entertainment, Developer and Publisher,Munich,Bayern,Germany
Grimlore Games (THQ Nordic), Developer,Munich,Bayern,Germany
Icebird Studios, Developer,Munich,Bayern,Germany
igda Munich Chapter, Organization,Munich,Bayern,Germany
Innoactive, Serious Games,Munich,Bayern,Germany
Irrgheist, Developer,Tübingen,Baden-Württemberg,Germany
Klonk Games, Developer,Munich,Bayern,Germany
Koch Media, Publisher,Munich,Bayern,Germany
MegaZebra, Developer,Munich,Bayern,Germany
Mimimi Productions, Developer,Munich,Bayern,Germany
mixtvision Digital, Developer,Munich,Bayern,Germany
Morphicon, Online,Munich,Bayern,Germany
narayana games, Virtual Reality,Munich,Bayern,Germany
Playgendary, Mobile,Munich,Bayern,Germany
Private Division, Publisher,Munich,Bayern,Germany
Reality Twist, Developer,Munich,Bayern,Germany
RealmForge Studios, Developer,Munich,Bayern,Germany
Schine, Developer,Munich,Bayern,Germany
Shin'en Multimedia, Developer,Munich,Bayern,Germany
Sixteen Tons Entertainment, Developer,Tübingen,Baden-Württemberg,Germany
Take 2 Interactive GmbH, Publisher,Munich,Bayern,Germany
Terzio Verlag, Publisher,Munich,Bayern,Germany
ThreeDee, Serious Games,Munich,Bayern,Germany
Travian Games, Online,Munich,Bayern,Germany
Travian Publishing, Publisher,Munich,Bayern,Germany
A Bonfire of Souls, Developer,Malaga,Malaga,Spain
Fourattic, Developer,Seville,Seville,Spain
Genera Games, Mobile,Sevilla,Andalucia,Spain
Odders Lab, Virtual Reality,Seville,Seville,Spain
Pixelatto, Developer,Malaga,Malaga,Spain
Silent Road Games, Developer,Malaga,Malaga,Spain
The Game Kitchen, Developer,Seville,Seville,Spain
Video Games Without Borders, Organization,Malaga,Malaga,Spain
Virtually Live, Virtual Reality,Malaga,Malaga,Spain
Zinkia Sevilla, Developer,Seville,Seville,Spain
Artigames, Developer,Lima,Lima,Peru
Bamtang Games, Developer,Lima,Lima,Peru
igda Peru Chapter, Organization,Lima,Lima,Peru
Leap Game Studios, Developer,Lima,Lima,Peru
Unforgiven, Developer,Lima,Lima,Peru
Asobo Studio, Developer,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
BeTomorrow Game Studio, Developer,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Big Bad Wolf, Developer,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Bulwark Studios, Mobile,Angouleme,Aquitaine-Limousin-Poitou-Charentes,France
DSC Studio22, Developer,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Goloso Games, Developer,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Headbang Club, Developer,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Hibernian Workshop, Developer,Angouleme,Aquitaine-Limousin-Poitou-Charentes,France
Honor Code, Virtual Reality,Angouleme,Aquitaine-Limousin-Poitou-Charentes,France
IntellySurf, Developer,Anglet,Aquitaine-Limousin-Poitou-Charentes,France
Motion Twin, Mobile,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
OUAT Entertainment, Developer,Angouleme,Aquitaine-Limousin-Poitou-Charentes,France
Playwing, Mobile,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
shinypix, Mobile,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Shiro Games, Developer,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
SimforHealth, Health,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Studio Black Flag, Developer,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Studio Nyx, Mobile,Angouleme,Aquitaine-Limousin-Poitou-Charentes,France
Sweet Nitro, Online,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
TripleFun, Mobile,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Ubisoft Bordeaux, Developer and Publisher,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
UN JE NE SAIS QUOI, Developer,Bordeaux,Aquitaine-Limousin-Poitou-Charentes,France
Aventurine SA, Developer and Publisher,Athens,Attica,Greece
Dragontale, Developer,Athens,Attica,Greece
Eyelead Software, Developer,Athens,Attica,Greece
Games2Gaze, Developer and Publisher,Athens,Attica,Greece
Happyland Entertainment, Developer,Athens,Attica,Greece
JoyFoundry, Mobile,Athens,Attica,Greece
KickBack, Mobile,Larissa,Thessaly,Greece
LazyLand, Developer and Publisher,Piraeus,Attica,Greece
Terahard, Mobile,Athens,Attica,Greece
Total Eclipse, Developer,Thessaloniki,Thessaloniki,Greece
Traptics, Developer,Athens,Attica,Greece
DivMob, Mobile,Ho Chi Minh City,Ho Chi Minh City,Vietnam
Gameloft, Mobile,Ho Chi Minh City,Ho Chi Minh City,Vietnam
Glass Egg, Developer,Ho Chi Minh City,Ho Chi Minh City,Vietnam
gloops Vietnam (Nexon), Developer,Ho Chi Minh City,Ho Chi Minh City,Vietnam
igda Vietnam Chapter, Organization,Ho Chi Minh City,Ho Chi Minh City,Vietnam
Pine Entertainment, Mobile,Ho Chi Minh City,Ho Chi Minh City,Vietnam
PLAY Publish, Publisher,Ho Chi Minh City,Ho Chi Minh City,Vietnam
VNG Game Studios, Mobile,Ho Chi Minh City,Ho Chi Minh City,Vietnam
Batovi Games Studio, Developer,Montevideo,Montevideo,Uruguay
Camara Uruguay de Desarrolladores De Videojuegos, Organization,Montevideo,Montevideo,Uruguay
Gameolic, Developer,Maldonado,Maldonado,Uruguay
Ironhide Game Studio, Mobile,Montevideo,Montevideo,Uruguay
KefSensei Studios, Developer,Montevideo,Montevideo,Uruguay
Pomelo Games, Mobile,Montevideo,Montevideo,Uruguay
EA Baton Rouge (Electronic Arts), Publisher,Baton Rouge,Louisiana,United States
igda Baton Rouge, Organization,Baton Rouge,Louisiana,United States
Pixel Dash Studios, Developer,Baton Rouge,Louisiana,United States
Apps Ministry, Mobile,Voronezh,Voronezh,Russia
Dynamic Pixels, Developer,Voronezh,Voronezh,Russia
My.Games, Online,Voronezh,Voronezh,Russia
Pixonic, Mobile,Belgorod,Belgorod Oblast,Russia
Battlestate Games, Developer,Saint Petersburg,Northwestern Federal District,Russia
Creat Studios, Developer,Saint Petersburg,Northwestern Federal District,Russia
Dark Crystal Games, Mobile,Saint Petersburg,Northwestern Federal District,Russia
Ink Stain Games, Developer,Saint Petersburg,Northwestern Federal District,Russia
Ink Stains Games, Developer,Saint Petersburg,Northwestern Federal District,Russia
Joy Craft Games, Mobile,Saint Petersburg,Northwestern Federal District,Russia
JoyBits, Mobile,Saint Petersburg,Northwestern Federal District,Russia
Larian Studios, Developer,Saint Petersburg,Northwestern Federal District,Russia
Lazy Bear Games, Developer,Saint Petersburg,Northwestern Federal District,Russia
Lesta Studio (Wargaming), Developer,Saint Petersburg,Northwestern Federal District,Russia
My.Games, Online,Saint Petersburg,Northwestern Federal District,Russia
Mytona, Mobile,Saint Petersburg,Northwestern Federal District,Russia
NevoSoft, Developer,Saint Petersburg,Northwestern Federal District,Russia
Orc Work, Mobile,Saint Petersburg,Northwestern Federal District,Russia
Playkot, Mobile,Saint Petersburg,Northwestern Federal District,Russia
Saber Interactive, Developer,Saint Petersburg,Northwestern Federal District,Russia
Sperasoft, Developer,Saint Petersburg,Northwestern Federal District,Russia
The Web Production, Developer,Saint Petersburg,Northwestern Federal District,Russia
Tigrido, Mobile,Saint Petersburg,Northwestern Federal District,Russia
Triton Studios (Big Fish Games), Mobile,Saint Petersburg,Northwestern Federal District,Russia
Uroboros Games, Developer,Saint Petersburg,Northwestern Federal District,Russia
Daily Magic Productions, Developer,Kaliningrad,Kaliningrad,Russia
G5 Entertainment, Developer and Publisher,Kaliningrad,Kaliningrad,Russia
Game Forest, Developer and Publisher,Kaliningrad,Kaliningrad,Russia
HeroCraft, Developer and Publisher,Kaliningrad,Kaliningrad,Russia
My.Games, Online,Kaliningrad,Kaliningrad,Russia
Realore Studios, Developer and Publisher,Kaliningrad,Kaliningrad,Russia
Sobaka Studio, Developer,Kaliningrad,Kaliningrad,Russia
Tortuga Team, Developer,Kaliningrad,Kaliningrad,Russia
SkyRiver Studios, Developer,Samara,Samara,Russia
Alawar Entertainment, Publisher,Novosibirsk,Novosibirsk,Russia
Friday's Games, Mobile,Novosibirsk,Novosibirsk,Russia
Lemon Tree Studio, Mobile,Omsk,Siberia,Russia
Matryoshka Games, Mobile,Novosibirsk,Novosibirsk,Russia
mobStudio, Online,Krasnoyarsk,Krasnoyarsk Krai,Russia
Stereo7 Games, Mobile,Novosibirsk,Novosibirsk,Russia
Tabatoune, Developer,Akademgorodok,Novosibirsk,Russia
Unigine, Developer,Tomsk,Tomsk,Russia
Epsilon Games, Developer,Ufa,Bashkortostan,Russia
Extreme Developers, Mobile,Miass,Chelyabinsk Oblast,Russia
Targem Games, Developer,Ekaterinburg,Sverdlovsk,Russia
Ural Development, Organization,Ekaterinburg,Sverdlovsk,Russia
ACE Team, Developer,Santiago,Region Metropolitana,Chile
AmnesiaGames, Mobile,Santiago,Region Metropolitana,Chile
BURA, Developer,Santiago,Region Metropolitana,Chile
Gameloft, Mobile,Santiago,Region Metropolitana,Chile
Giant Monkey Robot, Developer,Santiago,Region Metropolitana,Chile
igda Chile Chapter, Organization,Santiago,Region Metropolitana,Chile
IguanaBee, Mobile,Santiago,Region Metropolitana,Chile
Kemono Games, Developer,Santiago,Region Metropolitana,Chile
MEGO, Mobile,Santiago,Region Metropolitana,Chile
Octeto Studios, Developer,Santiago,Region Metropolitana,Chile
Playmestudio, Developer,Santiago,Region Metropolitana,Chile
Psycho World, Mobile,Valparaiso,Region Metropolitana,Chile
Raincup Games, Developer,Concon,Valparaíso,Chile
Studio Pangea, Developer,Santiago,Region Metropolitana,Chile
Tinybytes Games, Mobile,Santiago,Region Metropolitana,Chile
VideoGames Chile, Organization,Santiago,Region Metropolitana,Chile
Bitcutter Studios, Developer,Regina,Saskatchewan,Canada
Studio MDHR, Developer,Regina,Saskatchewan,Canada
Other Ocean Interactive, Developer,Charlottetown,Prince Edward Island,Canada
Queen Bee Games, Developer,Charlottetown,Prince Edward Island,Canada
Red Crow Studio (Electronic Arts), Mobile,Charlottetown,Prince Edward Island,Canada
Telos Entertainment, Developer,Charlottetown,Prince Edward Island,Canada
Aquiris Game Studio, Developer,Porto Alegre,Rio Grande do Sul,Brazil
IMGNATION Studios, Virtual Reality,Santa Maria,Rio Grande do Sul,Brazil
Izyplay Game Studio, Developer,Pelotas,Rio Grande do Sul,Brazil
Kuupu, Developer,Porto Alegre,Rio Grande do Sul,Brazil
Oniria, Developer,Londrina,Parana,Brazil
igda Curitiba Chapter, Organization,Curitiba,Parana,Brazil
JoyMasher, Developer,Curitiba,Parana,Brazil
Sukafu Team, Developer,Curitiba,Parana,Brazil
TechFront, Developer,Curitiba,Parana,Brazil
Long Hat House, Mobile,Belo Horizonte,Minas Gerais,Brazil
O2 Games, Developer,Belo Horizonte,Minas Gerais,Brazil
Rogue Snail, Developer,Belo Horizonte,Minas Gerais,Brazil
Interama, Developer,Vitoria,Espírito Santo,Brazil
44 Bico Largo, Developer,Sao Paulo,Sao Paulo,Brazil
BitCake Studio, Developer,Rio de Janeiro,Rio de Janeiro,Brazil
Blizzard Entertainment, Developer,Sao Paulo,Sao Paulo,Brazil
Connect2Media, Mobile,Sao Paulo,Sao Paulo,Brazil
Double Dash Studios, Developer,Rio de Janeiro,Rio de Janeiro,Brazil
Electronic Arts Brazil, Publisher,Sao Paulo,Sao Paulo,Brazil
Gamebau, Mobile,Rio de Janeiro,Rio de Janeiro,Brazil
GameBlox Interactive, Developer,Sao Paulo,Sao Paulo,Brazil
Gameloft, Mobile,Sao Paulo,Sao Paulo,Brazil
Gazeus Games, Online,Rio de Janeiro,Rio de Janeiro,Brazil
Hexa Game Studios, Online,Sao Paulo,Sao Paulo,Brazil
Hissatsu Studios, Developer,Sao Paulo,Sao Paulo,Brazil
Icon Games, Developer,Rio de Janeiro,Rio de Janeiro,Brazil
igda Campinas Chapter, Organization,Campinas,Sao Paulo,Brazil
igda Rio de Janiero, Organization,Rio de Janeiro,Rio de Janeiro,Brazil
iMAX Games, Developer,Sao Carlos,Sao Paulo,Brazil
Insolita Studios, Developer,Sao Paulo,Sao Paulo,Brazil
Interama, Developer,Campinas,Sao Paulo,Brazil
Javary Co, Mobile,Sao Paulo,Sao Paulo,Brazil
Latam Video Games Federation, Organization,Sao Paulo,Sao Paulo,Brazil
Manifesto Games, Developer,Sao Paulo,Sao Paulo,Brazil
Mukutu, Developer,Santos,Sao Paulo,Brazil
Odin Game Studios, Developer,Sao Paulo,Sao Paulo,Brazil
Overtime Studios, Developer,Sao Paulo,Sao Paulo,Brazil
Perceptum, Developer,Santo André,Sao Paulo,Brazil
Pushstart Studios, Developer,Sao Paulo,Sao Paulo,Brazil
Red Cerberus, Developer,Sao Paulo,Sao Paulo,Brazil
Riot Games, Online,Sao Paulo,Sao Paulo,Brazil
Sioux, Developer,Sao Paulo,Sao Paulo,Brazil
Smyowl, Developer,Sorocaba,Sao Paulo,Brazil
Studio Pixel Punk, Developer,Santo Andre,Sao Paulo,Brazil
Tapps Games, Developer,Sao Paulo,Sao Paulo,Brazil
Tectoy Studios, Mobile,Campinas,Sao Paulo,Brazil
Ubisoft Sao Paulo, Developer and Publisher,Sao Paulo,Sao Paulo,Brazil
Vertice Games, Developer,Sao Paulo,Sao Paulo,Brazil
VRMonkey, Virtual Reality,Sao Paulo,Sao Paulo,Brazil
Webcore Games, Online,Sao Paulo,Sao Paulo,Brazil
Wildlife Studios, Mobile,Sao Paulo,Sao Paulo,Brazil
Zwift, Developer,Rio de Janeiro,Rio de Janeiro,Brazil
Bad Jokes, Mobile,Verona,Veneto,Italy
BTS Bioengineering, Health,Noventa Padovana,Veneto,Italy
Gamera Interactive, Developer,Padua,Veneto,Italy
Just Funny Games, Developer,Imola,Emilia Romagna,Italy
Reludo, Mobile,Verona,Veneto,Italy
Smallthing Games, Developer,Gorizia,Gorizia,Italy
Studio Evil, Developer,Bologna,Emilia Romagna,Italy
TiconBlu, Serious Games,Bologna,Emilia Romagna,Italy
48H Studio, Developer,Camerata Picena,Ancona,Italy
Balzo, Developer,Firenze,Toscana,Italy
Chestnut Games, Mobile,Lanciano,Abruzzo,Italy
Digital Tales, Developer,Rome,Lazio,Italy
EpochalStorm, Developer,Rome,Lazio,Italy
Ferhoxsoft, Developer,Rome,Lazio,Italy
Forward Games, Developer,Rome,Lazio,Italy
GamePix, Publisher,Rome,Lazio,Italy
GhostShark Games, Developer,Rome,Lazio,Italy
Haruneko Entertainment, Developer,Rome,Lazio,Italy
Hex Keep, Developer,Firenze,Toscana,Italy
Imagimotion, Developer,Rome,Lazio,Italy
indiegala, Developer,Rome,Lazio,Italy
Insidia, Mobile,Firenze,Toscana,Italy
Interactive Project, Developer,Rome,Lazio,Italy
Invader Studios, Developer,Rome,Lazio,Italy
Ivan Venturi Production, Developer,Rome,Lazio,Italy
LKA, Developer,Firenze,Toscana,Italy
Marslit, Virtual Reality,Lucca,Toscana,Italy
Midnite, Mobile,Cesena,Emilia-Romagna,Italy
redBit, Mobile,Rome,Lazio,Italy
redBit Games, Mobile,Rome,Lazio,Italy
Sedleo, Developer,Pistoia,Toscana,Italy
Storm in a Teacup, Developer,Rome,Lazio,Italy
Vae Victis, Developer,Cesena,Emilia Romagna,Italy
Artematica Entertainment, Developer,Genova,Liguria,Italy
Foofa Studios, Developer,Genova,Liguria,Italy
Singular Perception, Virtual Reality,Pieve Ligure,Liguria,Italy
Sir Reli Games, Mobile,Cagliari,Sardinia,Italy
The Space Backyard, Developer,Genova,Liguria,Italy
UNAmedia, Developer,Genova,Liguria,Italy
Drakkar Dev, Developer,Catania,Sicilia,Italy
E-ludo Interactive, Mobile,Syracuse,Sicilia,Italy
NAPS Team, Developer,Messino,Sicilia,Italy
Rimlight Studios, Developer,Catania,Sicilia,Italy
Stormind Games, Developer,Acireale,Sicilia,Italy
Akaoni Studios, Developer,Valencia,Valencia,Spain
Chibig Studios, Developer,Valencia,Valencia,Spain
Deconstructeam, Developer,Valencia,Valencia,Spain
Devilish Games, Developer,Alicante,Alicante,Spain
Digital Sun Games, Developer,Valencia,Valencia,Spain
DreamBox Games, Developer,Valencia,Valencia,Spain
GameHouse Spain, Developer,Alicante,Alicante,Spain
Gameloft, Mobile,Valencia,Valencia,Spain
Gronzragüer Games, Virtual Reality,Palma de Mallorca,Baleares,Spain
Kitmaker, Developer,Palma de Mallorca,Baleares,Spain
Mansion Games, Developer,Palma de Mallorca,Baleares,Spain
Mutant Games, Mobile,Palma de Mallorca,Baleares,Spain
Playgram Games, Mobile,Valencia,Valencia,Spain
PlaySpace, Developer,Palma de Mallorca,Mallorca,Spain
Rehametrics, Health,Valencia,Valencia,Spain
Shanblue Interactive, Developer,Valencia,Valencia,Spain
Super Awesome Hyper Dimensional Mega Team, Mobile,Valencia,Valencia,Spain
Super Awesome Hyper Dimensional Mega Team, Developer,Valencia,Valencia,Spain
Tama Games, Developer,Valencia,Valencia,Spain
Teku Studios, Developer,Teruel,Aragon,Spain
Wild Sphere, Developer,Valencia,Valencia,Spain
Balancing Monkey Games, Developer,Dunedin,Otago,New Zealand
RocketWerkz, Developer,Dunedin,Otago,New Zealand
Runawayplay, Developer,Dunedin,Otago,New Zealand
Black Lab Games, Developer,Tuart Hill,Western Australia,Australia
Stirfire Studios, Developer,Perth,Western Australia,Australia
Subversive Games, Developer,Perth,Western Australia,Australia
Aliasworlds Entertainment, Developer,Minsk,Minsk,Belarus
Aterdux Entertainment, Developer,Minsk,Minsk,Belarus
Belka Games, Mobile,Minsk,Minsk,Belarus
Game Insight, Mobile,Minsk,Minsk,Belarus
Game Stream (Wargaming), Online,Minsk,Minsk,Belarus
Gameloft, Mobile,Minsk,Minsk,Belarus
Knocknock Games, Developer,Minsk,Minsk,Belarus
Melsoft, Mobile,Minsk,Minsk,Belarus
Playtika, Mobile,Minsk,Minsk,Belarus
Saber Interactive, Developer,Minsk,Minsk,Belarus
Truly Social Games, Mobile,Minsk,Minsk,Belarus
Wargaming Minsk, Mobile,Minsk,Minsk,Belarus
Awem Studio, Developer,Mahilyow,Mahilyow,Belarus
Creative Assembly Sofia, Developer,Sofia,Sofia,Bulgaria
Dark-1, Developer,Skopje,Skopje,Macedonia
Dreamtek, Developer,Sofia,Sofia,Bulgaria
Gameloft, Mobile,Sofia,Sofia,Bulgaria
Haemimont Games, Developer,Sofia,Sofia,Bulgaria
Imperia Online, Online,Sofia,Sofia,Bulgaria
KAMAi MEDIA, Developer,Bitola,Bitola,Macedonia
Masthead Studios, Developer,Sofia,Sofia,Bulgaria
morgen studios, Developer,Sofia,Sofia,Bulgaria
Nordeus, Online,Skopje,Skopje,Macedonia
Snapshot Games, Developer,Sofia,Sofia,Bulgaria
TabTale, Online,Skopje,Skopje,Macedonia
TabTale, Mobile,Sofia,Sofia,Bulgaria
Ubisoft Sofia, Developer and Publisher,Sofia,Sofia,Bulgaria
XS Software, Online,Sofia,Sofia,Bulgaria
Zariba, Developer,Varna,Varna,Bulgaria
ABRAGAMES, Organization,Recife,Pernambuco,Brazil
igda Recife Chapter, Organization,Recife,Pernambuco,Brazil
Joy Street, Serious Games,Recife,Pernambuco,Brazil
Jynx Playware, Developer,Recife,Pernambuco,Brazil
Manifesto Games, Developer,Recife,Pernambuco,Brazil
KamaGames Studio, Mobile,Vladivostok,Primorsky Krai,Russia
Mytona, Mobile,Vladivostok,Primorsky Krai,Russia
Mytona, Mobile,Yakutsk,Sakha Republic,Russia
Critical Force Entertainment, Mobile,Kajaani,Kainuu,Finland
Fingersoft, Mobile,Kempele,Ostrobothnia,Finland
Jumbon, Mobile,Oulu,Ostrobothnia,Finland
Kajak Games, Developer,Kajaani,Kainuu,Finland
Koukoi Games, Developer,Oulu,Ostrobothnia,Finland
Ludocraft, Developer,Oulu,Ostrobothnia,Finland
Mekiwi, Virtual Reality,Oulu,Ostrobothnia,Finland
Team Jolly Roger, Developer,Kajaani,Kainuu,Finland
2Pi Interactive, Developer,Hyderabad,Andhra Pradesh,India
BlueGiant Interactive, Developer,Hyderabad,Andhra Pradesh,India
EA Hyderabad (Electronic Arts), Publisher,Hyderabad,Andhra Pradesh,India
Glu Mobile, Mobile,Hyderabad,Andhra Pradesh,India
GoLive Games, Developer,Hyderabad,Andhra Pradesh,India
Microsoft Casual Games, Developer and Publisher,Hyderabad,Andhra Pradesh,India
Nautilus Mobile, Mobile,Hyderabad,Andhra Pradesh,India
Ogre Head Studio, Mobile,Hyderabad,Andhra Pradesh,India
Slingshot Games (Electronic Arts), Mobile,Hyderabad,Andhra Pradesh,India
TAGS, Developer,Hyderabad,Andhra Pradesh,India
Alucina Studio, Developer,Mexico City,Mexico City,Mexico
Artefacto Estudio, Mobile,Mexico City,Mexico City,Mexico
Bromio, Mobile,Puebla,Puebla,Mexico
Code 91, Mobile,Toluca,Mexico,Mexico
EnsenaSoft, Developer and Publisher,Mazatlan,Sinaloa,Mexico
Gamebau, Mobile,Mexico City,Mexico City,Mexico
Gameloft, Mobile,Mexico City,Mexico City,Mexico
HaiKu Studio, Developer,Tetenco,Mexico City,Mexico
Hollow Games, Developer,Mexico City,Mexico City,Mexico
Hyperbeard Games, Mobile,Mexico City,Mexico City,Mexico
Kokonut Studio, Developer,Mexico City,Mexico City,Mexico
Mantiz Game Studios, Developer,Pachuca,Hidalgo,Mexico
Mexican Game Development Association, Organization,Mexico City,Mexico City,Mexico
Phyne Games, Mobile,Mexico City,Mexico City,Mexico
Riot Games, Online,Mexico City,Mexico City,Mexico
Slang, Publisher,Mexico City,Mexico City,Mexico
Squad, Developer,Condesa,Mexico City,Mexico
WASD Estudio, Virtual Reality,Mexico City,Mexico City,Mexico
doinksoft, Developer,Eugene,Oregon,United States
Game Closure, Online,Eugene,Oregon,United States
Innervision Games, Virtual Reality,Eugene,Oregon,United States
Knife Edge Software, Developer,Corvallis,Oregon,United States
Lion Shield Studios, Developer,Grants Pass,Oregon,United States
Mad Otter Games, Developer,Eugene,Oregon,United States
Mutant Arm Studios, Developer,Bend,Oregon,United States
Pipeworks Studios, Developer,Eugene,Oregon,United States
Sony Computer Entertainment Bend Studio, Developer and Publisher,Bend,Oregon,United States
